Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
723,5,0,30,30's,170,2164,65,3,3,26,20's,172,2213,65,red,13943,11380
724,0,0,29,20's,187,2367,93,2,1,29,20's,177,2290,84,blue,0,4028
725,0,0,39,30's,175,768,77,5,0,46,40's,180,129,84,red,0,4753
726,0,0,25,20's,190,2840,93,1,0,27,20's,185,2790,93,blue,0,1905
727,2,2,32,30's,162,2343,52,1,1,23,20's,165,2814,52,blue,2752,4241
728,2,2,26,20's,185,2204,77,2,0,36,30's,185,2100,77,blue,4328,5511
729,1,1,33,30's,185,2055,77,2,1,39,30's,185,326,77,red,1267,8695
730,3,1,33,30's,185,2205,93,1,1,44,40's,190,175,93,blue,9230,1122
731,2,2,25,20's,177,2813,77,7,2,35,30's,182,2291,77,red,6089,15654
732,3,0,28,20's,182,2048,65,3,0,33,30's,175,2128,65,blue,7467,7066
733,6,5,33,30's,185,1806,84,6,5,26,20's,182,2037,84,red,10753,16398
734,0,0,38,30's,180,347,77,1,0,39,30's,182,653,84,blue,0,606
735,0,0,38,30's,170,1860,61,1,1,32,30's,170,961,61,blue,0,3421
736,3,0,30,30's,180,1783,77,2,0,34,30's,170,646,77,blue,6504,4730
737,0,0,28,20's,172,1340,70,0,0,32,30's,167,2207,70,red,0,0
738,0,0,25,20's,180,2588,77,0,0,26,20's,177,2586,77,red,0,0
739,0,0,35,30's,182,2291,77,1,0,35,30's,190,1547,77,blue,0,6128
740,1,0,27,20's,193,2323,77,1,0,25,20's,180,2077,77,blue,229,2572
741,2,0,35,30's,187,1922,93,1,0,37,30's,185,2085,93,red,704,3302
742,3,1,25,20's,177,2466,70,3,3,32,30's,172,1137,70,blue,5878,10642
743,1,0,30,30's,187,1550,84,1,0,34,30's,182,1594,84,red,2973,3571
744,0,0,25,20's,167,2311,56,1,0,32,30's,162,2095,56,red,0,3449
745,0,0,34,30's,162,2349,52,0,0,32,30's,162,2343,52,red,0,0
746,2,0,35,30's,172,1948,70,2,0,31,30's,180,2243,70,red,3169,3678
747,1,0,33,30's,167,1861,61,1,0,37,30's,170,1060,61,red,3229,2702
748,0,0,34,30's,177,915,70,0,0,33,30's,185,1076,77,red,0,0
749,0,0,37,30's,182,387,84,2,2,33,30's,187,503,93,red,0,8967
750,0,0,25,20's,190,2167,84,0,0,30,30's,187,2061,93,red,0,0
751,0,0,34,30's,177,1565,70,1,1,22,20's,175,2258,70,red,0,4168
752,1,0,38,30's,175,361,65,5,5,24,20's,180,2362,65,red,2689,19671
753,4,3,27,20's,185,2122,84,1,1,30,30's,193,546,84,blue,18590,3137
754,0,0,29,20's,185,2844,84,1,0,23,20's,180,2786,84,blue,0,1803
755,2,2,30,30's,187,2061,93,2,1,26,20's,182,2037,84,red,7687,4988
756,4,0,23,20's,167,2118,56,4,0,35,30's,160,1253,56,blue,15174,11754
757,2,1,30,30's,182,2107,77,1,1,32,30's,180,1543,77,blue,3768,4340
758,5,0,29,20's,182,2104,77,4,0,37,30's,185,1549,77,blue,11810,8377
759,4,0,29,20's,177,2053,77,6,0,29,20's,177,1481,70,red,16241,13462
760,7,3,32,30's,162,2095,56,6,6,30,30's,160,1495,56,red,20465,24959
761,2,0,28,20's,180,1974,65,3,0,27,20's,177,1531,65,red,3296,2764
762,1,0,25,20's,182,2329,77,2,0,35,30's,190,1547,77,blue,2603,7742
763,3,1,30,30's,175,545,65,7,7,25,20's,180,1936,65,red,13646,19855
764,0,0,25,20's,177,2813,77,3,0,32,30's,190,2020,77,blue,0,7804
765,0,0,32,30's,187,2751,77,0,0,25,20's,187,2750,77,red,0,0
766,7,0,36,30's,187,1694,93,0,0,40,40's,187,797,93,red,19476,0
767,3,1,37,30's,172,2276,61,3,1,29,20's,172,1858,61,red,3508,6595
768,1,0,29,20's,180,2469,77,2,0,34,30's,177,1493,70,blue,2687,1633
769,1,0,25,20's,175,2784,70,5,1,31,30's,172,1675,70,blue,2276,18017
770,3,0,29,20's,190,2066,84,5,0,36,30's,182,435,84,red,4552,4695
771,1,1,38,30's,170,366,65,2,2,28,20's,175,2057,70,red,4374,2015
772,1,1,37,30's,182,372,84,3,0,29,20's,185,1546,84,red,1327,8938
773,0,0,26,20's,193,2764,120,0,0,30,30's,193,2659,113,red,0,0
774,3,2,37,30's,167,959,61,2,2,35,30's,167,451,65,red,5777,11538
776,0,0,31,30's,190,1742,93,0,0,37,30's,185,1663,93,red,0,0
777,1,0,29,20's,180,2698,77,0,0,29,20's,182,2206,77,red,1278,0
778,4,3,31,30's,180,2214,65,2,2,32,30's,182,2092,65,blue,10036,1865
779,0,0,30,30's,182,2490,84,1,1,29,20's,180,2333,77,blue,0,662
780,3,3,28,20's,180,2015,77,6,5,25,20's,180,2172,77,blue,3137,12955
781,4,2,33,30's,185,2205,93,4,1,33,30's,177,2060,93,red,9774,1358
782,0,0,28,20's,165,2505,56,2,0,30,30's,165,2142,56,blue,0,9803
783,1,1,25,20's,177,2466,70,3,2,34,30's,177,915,70,red,2216,5057
784,4,4,27,20's,177,2262,70,4,1,22,20's,175,2258,70,red,13284,10268
785,1,1,24,20's,162,2578,56,5,0,33,30's,167,2007,56,blue,3404,12823
786,4,2,34,30's,182,2083,112,0,0,39,30's,187,2155,109,blue,6587,0
787,1,0,34,30's,162,2349,52,0,0,28,20's,167,2345,52,red,1085,0
788,0,0,33,30's,167,1618,61,0,0,30,30's,167,1317,61,red,0,0
789,2,0,27,20's,185,2602,77,4,0,25,20's,182,2329,77,red,3123,8656
790,0,0,31,30's,165,2328,52,1,0,35,30's,165,2279,52,red,0,4115
791,1,0,31,30's,182,538,77,3,0,30,30's,177,1711,70,blue,3187,12765
792,0,0,32,30's,190,2020,77,0,0,30,30's,177,942,77,red,0,0
793,6,1,46,40's,180,129,84,7,4,38,30's,185,368,84,red,5980,27098
794,1,0,24,20's,175,2157,70,1,0,31,30's,177,2097,70,blue,4366,3651
795,2,0,34,30's,175,778,70,7,1,31,30's,180,1657,70,red,6270,19882
796,0,0,31,30's,172,2190,65,0,0,30,30's,170,2189,61,blue,0,0
797,3,0,26,20's,177,2119,65,2,2,28,20's,172,2360,65,blue,8375,5563
798,6,0,31,30's,180,1657,70,3,0,30,30's,177,1069,65,blue,15771,9664
799,1,1,34,30's,187,2051,84,1,1,33,30's,177,1655,77,red,3730,521
800,2,1,29,20's,185,2604,70,2,2,24,20's,177,2822,70,red,2999,5582
801,1,1,33,30's,187,502,77,0,0,34,30's,182,485,84,blue,427,0
802,4,1,26,20's,177,2119,65,3,3,24,20's,180,2362,65,red,9309,10373
803,3,0,31,30's,167,1484,65,3,3,35,30's,167,451,65,red,9581,18265
804,4,1,30,30's,175,2330,65,1,1,26,20's,180,2847,65,red,14772,4421
805,2,1,34,30's,177,915,70,1,0,30,30's,172,2023,70,blue,1906,3950
806,6,3,28,20's,170,2150,61,6,0,30,30's,167,1317,61,blue,18680,21346
807,1,1,34,30's,177,1986,70,0,0,37,30's,185,1080,70,blue,4256,0
808,0,0,33,30's,175,515,65,2,2,26,20's,172,2154,65,red,0,5051
809,1,1,25,20's,177,2813,77,2,2,29,20's,185,2656,77,blue,1380,3963
810,0,0,24,20's,172,2363,61,0,0,24,20's,180,2362,65,red,0,0
811,5,1,30,30's,175,545,65,5,0,35,30's,167,451,65,red,21517,25579
812,5,5,34,30's,182,1944,77,5,3,34,30's,175,1386,77,draw,14368,7052
